categories,endDate,location,startDate,title
"[{'name': 'Junior', 'ages': ['5-12', '13+']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",22/01/2023,Rosny Park Tennis Club | Rosny Park,20/01/2023,2023 O3K J125 Clarence Open
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': []}]",22/01/2023,Kawana Tennis Club | Sunshine Coast,20/01/2023,2023 Open 3K Kawana Open Championships
"[{'name': 'Other', 'ages': []}, {'name': 'Open', 'ages': ['12+']}, {'name': 'Junior', 'ages': []}]",22/01/2023,Higgins Park Tennis Club | Perth,21/01/2023,2023 Higgins Park Tennis Club incl.  Doubles for Danny
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",22/01/2023,Tennis World Canberra | Canberra,21/01/2023,2023 JDS Tennis World Canberra #1
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",24/01/2023,Tennis West | Perth,21/01/2023,2023 JS500 J125 WA Junior Grasscourt State Championships & Spirit Junior #2
"[{'name': 'Open', 'ages': ['-12', '-14', '-16', '13+', '40+']}, {'name': 'Open', 'ages': []}]",24/01/2023,Rye TC | Rye,21/01/2023,2023 Open 3K Rye Tennis Club 44th Annual Australia Day Event
"[{'ages': ['-9', '-11', '-13', '-15', '-17'], 'name': None}]",22/01/2023,Warrnambool Lawn | Warrnambool,22/01/2023,2022 Junior UTR Tournament Series - January
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",25/01/2023,Geelong LTC | Belmont,22/01/2023,2023 J250 J125 Geelong Premier Event
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",25/01/2023,MCC Glen Iris Valley Tennis Club | Mt Waverley,22/01/2023,2023 JT Junior 125 MCC Glen Iris Australia Day Event
"[{'name': 'Open', 'ages': ['16+']}, {'name': 'Junior', 'ages': []}]",25/01/2023,Tennis World Millswood | Millswood,22/01/2023,2023 O3K  J125 Tennis World Millswood January Junior & Open Event
"[{'name': 'Open', 'ages': ['-10', '-12', '-14', '-16']}, {'name': 'Open', 'ages': []}]",25/01/2023,Hume Tennis and Community Centre | Craigieburn,22/01/2023,2023 Open 3K Hume Tennis Jan Event #2
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': []}]",27/01/2023,Tennis Tasmania | Devonport,23/01/2023,2023 Signature 20k Tasmanian Championships
"[{'ages': [], 'name': None}]",24/01/2023,UWA Tennis Club | Perth,24/01/2023,UWA Junior Challenge #5
"[{'name': 'Junior', 'ages': ['-10', '-11', '-14', '-17']}, {'name': 'Junior', 'ages': []}]",27/01/2023,Jason Todd | Banksia Park,26/01/2023,2023 JDS Just 4 Tennis Event #4
"[{'name': 'Junior', 'ages': ['9+']}, {'name': 'Junior', 'ages': []}]",29/01/2023,Busselton Tennis Club | Perth,26/01/2023,2023 JT Junior 125 Busselton Toyota Junior Tour
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': []}]",29/01/2023,David Turbayne Tennis Centre | Brisbane,26/01/2023,2023 Open 3K Churchie Open
"[{'name': 'Junior', 'ages': []}, {'name': 'Open', 'ages': ['16+']}, {'name': 'Junior', 'ages': []}]",30/01/2023,Tennis World Canberra | Canberra,26/01/2023,2023 O3K JP250 J125 Tennis World Canberra
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-12', '-14', '-16']}]",29/01/2023,Parramatta Tennis Inc | North Parramatta,27/01/2023,2023 JT Junior 125 Parramatta Junior
"[{'name': 'Other', 'ages': []}]",29/01/2023,Wangaratta Lawn | Wangaratta,27/01/2023,Premier Panels Australia Day Tournament 2023
"[{'name': 'Other', 'ages': []}]",26/02/2023,Northern Suburbs Tennis Assn. | Naremburn,28/01/2023,2023 NSTA Championships Open and Juniors
"[{'ages': [], 'name': None}]",29/01/2023,UWA Tennis Club | Perth,29/01/2023,UWA Junior Challenge #6
"[{'name': 'Junior', 'ages': ['-17']}]",31/12/2023,Tennis Queensland | Caloundra,4/02/2023,2023 JDS Sunshine Coast Region - Caloundra 4th & 5th Feb
"[{'name': 'Junior', 'ages': ['-9', '-11', '-14', '-17']}]",5/02/2023,Tennis Australia | Surrey Downs,5/02/2023,2023 JDS Just 4 Tennis Event #5
"[{'name': 'Junior', 'ages': ['-12']}]",5/02/2023,Tennis NSW Northumberland Region | Broadmeadow,5/02/2023,2023 JDS Northumberland RMS PLUS - Newcastle #1
"[{'name': 'Junior', 'ages': ['Open']}, {'name': 'Junior', 'ages': ['-16']}]",5/02/2023,Geelong LTC | Belmont,5/02/2023,2023 Community Geelong Lawn February UTR Band 0-5
"[{'name': 'Junior', 'ages': ['-10']}]",5/02/2023,Tennis Queensland | Gold Coast,5/02/2023,2023 JC Gold Coast Orange Ball - Gold Coast Seniors
"[{'name': 'Junior', 'ages': ['-17']}]",5/02/2023,Tennis Queensland | Gold Coast,5/02/2023,2023 JDS Gold Coast Region - Pimpama - Singles ONLY
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16']}]",5/02/2023,Tennis NSW Northumberland Region | Broadmeadow,5/02/2023,2023 JDS Northumberland RMS - Newcastle #1
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '-18']}]",5/02/2023,Tennis NSW South East Region | Gwynneville,5/02/2023,2023 JDS South East RMS - Wollongong
"[{'name': 'Junior', 'ages': []}]",5/02/2023,Wimmera Region | Horsham,5/02/2023,Central Park Wimmera Junior Points Tournament
"[{'name': 'Open', 'ages': []}]",12/02/2023,West Lalor Tennis Club | Melbourne,10/02/2023,Lets Challenge Tournament 2023
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",12/02/2023,Domain Tennis Club | Queens Domain,11/02/2023,2023 Pardey Shield/Pizzey Cup Trials 
"[{'name': 'Junior', 'ages': []}]",12/02/2023,Tennis Queensland | Gold Coast,11/02/2023,2023 JT Junior 125 KDV Sport Slam Series 1
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['14+']}]",12/02/2023,NSW Country Tennis Association | Gosford,11/02/2023,2023 Open Community Tennis Country Series - Gosford
"[{'ages': ['-9', '-11', '-13', '-15', '-17'], 'name': None}]",12/02/2023,Warrnambool Lawn | Warrnambool,12/02/2023,2022 Junior UTR Tournament Series - February
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '-18']}]",12/02/2023,Tennis NSW Central West Region | Bathurst,12/02/2023,2023 JDS Central West RMS - Bathurst
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '16+']}]",12/02/2023,Tennis NSW North East Region | Port Macquarie,12/02/2023,2023 JDS North East RMS (Lower) - Port Macquarie #1
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '16+']}]",12/02/2023,Tennis NSW North East Region | Lismore,12/02/2023,2023 JDS North East RMS (Upper) - Lismore #1
"[{'name': 'Junior', 'ages': ['-8']}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '16+']}]",12/02/2023,Tennis NSW North West Region | Inverell,12/02/2023,2023 JDS North West RMS - Inverell
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '-18']}]",12/02/2023,Tennis NSW South West Region | Wagga Wagga,12/02/2023,2023 JDS South West RMS - Wagga Wagga
"[{'name': 'Open', 'ages': ['16+']}]",17/02/2023,Geelong LTC | Belmont,13/02/2023,2023 Signature 20K Victorian Grasscourt Championships
"[{'name': 'Open', 'ages': []}]",19/02/2023,Cygnet Tennis Club | Cygnet,17/02/2023,2023 Cygnet Open
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': ['-16']}]",19/02/2023,Tennis Tasmania | Cygnet,17/02/2023,2023 O3 J125 Cygnet Open
"[{'name': 'Open', 'ages': ['13+']}]",19/02/2023,Tennis Queensland | Mooloolaba,17/02/2023,2023 Open 3K Mooloolaba Open Championships
"[{'name': 'Junior', 'ages': ['-10', '-12', '-14', '-18']}]",19/02/2023,Tennis ACT | Canberra,18/02/2023,2023 JDS Melba
"[{'name': 'Junior', 'ages': ['-17']}]",19/02/2023,Tennis Queensland | Sarina,18/02/2023,2023 JDS North Region - Sarina (B)
